latitude,longitude,altitude,intensity,x,y,z,level,x_rounded,y_rounded
45.90362656,11.02820286,225.6016,12.0,4357062.86055653,4496709.574347499,1212111.5040316822,upper,217853143.0,224835479.0
45.90360236,11.02818754,226.3226,5.0,4357065.477870953,4496708.475109946,1212109.9785676547,upper,217853274.0,224835424.0
45.90357287,11.02816533,226.0557,4.0,4357067.937057959,4496706.381919573,1212107.5160368723,upper,217853397.0,224835319.0
45.90357124,11.02816154,225.6258,3.0,4357067.827162166,4496706.012522058,1212107.0222972746,upper,217853391.0,224835301.0
45.90356287,11.02815822,226.0753,5.0,4357068.839962245,4496705.74333303,1212106.747810141,upper,217853442.0,224835287.0
45.90356267,11.02815751,226.0512,6.0,4357068.849652642,4496705.721925438,1212106.666110989,upper,217853442.0,224835286.0
45.90355966,11.02815465,226.0755,4.0,4357069.144594886,4496705.5536214225,1212106.3602317285,upper,217853457.0,224835278.0
45.90355613,11.02815213,226.0746,4.0,4357069.458129414,4496705.322843302,1212106.0864477959,upper,217853473.0,224835266.0
45.90355221,11.02815041,226.0733,4.0,4357069.790218921,4496705.049968142,1212105.899448225,upper,217853490.0,224835252.0
45.90355225,11.02814942,226.0559,5.0,4357069.789772734,4496705.0557893645,1212105.7886294175,upper,217853489.0,224835253.0
45.90355464,11.0281484,225.6268,5.0,4357069.324136405,4496704.950562417,1212105.5957987285,upper,217853466.0,224835248.0
45.9035419,11.02814378,226.1821,5.0,4357070.771309668,4496704.4433903415,1212105.200401148,upper,217853539.0,224835222.0
45.9036304,11.02798115,226.0146,3.0,4357066.105898513,4496713.526750011,1212087.5106236497,upper,217853305.0,224835676.0
45.90363307,11.02797467,225.988,3.0,4357065.97359761,4496713.809513657,1212086.8019618527,upper,217853299.0,224835690.0
45.90363074,11.02797958,226.5387,4.0,4357066.460301515,4496713.945906544,1212087.4404132937,upper,217853323.0,224835697.0
45.90364005,11.02798858,225.8699,4.0,4357065.140306199,4496714.045674872,1212088.2896650692,upper,217853257.0,224835702.0
45.9036458,11.02799305,225.7995,4.0,4357064.575128497,4496714.365380096,1212088.7615337656,upper,217853229.0,224835718.0
